停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄,latitude,longitude
路邊停車格收費路段,27,中正路-7(路邊停車格),  康樂街口-環河街口兩側   ,,-1,0,0,0,0,0,0,0,,20元/時,22.993530，120.193588,,22.99353,120.193588
路邊停車格收費路段,31,成功路-1(路邊停車格),  台南飯店-公園路口兩側   ,,-1,0,44,1,0,0,0,0,,20元/時,22.997850，120.208450,,22.99785,120.20845
路邊停車格收費路段,32,成功路-2(路邊停車格),  公園路口-忠義路口兩側   ,,-1,0,7,0,0,0,0,0,,20元/時,22.994551，120.208212,,22.994551,120.208212
路邊停車格收費路段,33,成功路-3(路邊停車格),  忠義路口-西門路口兩側   ,,-1,0,22,1,0,0,0,0,,20元/時,22.999291，120.202438,,22.999291,120.202438
路邊停車格收費路段,34,成功路-4(路邊停車格),  西門路口-金華路口兩側   ,,-1,0,27,0,0,0,0,0,,20元/時,23.000910，120.197647,,23.00091,120.197647
路邊停車格收費路段,35,成功路-5(路邊停車格),  金華路口-西和路口兩側   ,,-1,0,23,0,0,0,0,0,,20元/時,23.002260，120.195038,,23.00226,120.195038
路邊停車格收費路段,36,成功路-6(路邊停車格),  成功路22巷(成功路口-北忠街口)   ,,-1,0,6,0,0,0,0,0,,20元/時,22.998453，120.208968,,22.998453,120.208968
路邊停車格收費路段,41,北門路-1(路邊停車格),  東門圓環-青年路口兩側   ,,-1,0,20,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.990250，120.211483,,22.99025,120.211483
路邊停車格收費路段,42,北門路-2(路邊停車格),  青年路口-民族路口兩側   ,,-1,0,25,3,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.992250，120.211662,,22.99225,120.211662
路邊停車格收費路段,43,北門路3,  成功路-公園北路   ,,-1,0,31,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,23.002614，120.213242,,23.002614,120.213242
路邊停車格收費路段,51,府前路-1(路邊停車格),  東門圓環-開山路口兩側   ,,-1,0,27,0,0,0,0,0,,20元/時,22.988909，120.210713,,22.988909,120.210713
路邊停車格收費路段,52,府前路-2(路邊停車格),  開山路口-南門路口兩側   ,,-1,0,31,2,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.989031，120.206337,,22.989031,120.206337
路邊停車格收費路段,53,府前路-3(路邊停車格),  南門路口-忠義路口兩側   ,,-1,0,5,0,0,0,0,0,,20元/時 ,22.989269，120.203598,,22.989269,120.203598
路邊停車格收費路段,55,府前路-5(路邊停車格),  西門路口-海安路口兩側   ,,-1,0,3,0,0,0,0,0,,累進費率第一小時20元/時，第二小時起每小時30元/時,22.990657，120.197197,,22.990657,120.197197
路邊停車格收費路段,56,府前路-6(路邊停車格),  海安路口-金華路口兩側   ,,-1,0,6,0,0,0,0,0,,20元/時 ,22.991310，120.193901,,22.99131,120.193901
路邊停車格收費路段,57,府前路-7(路邊停車格),  金華路口-永華一街口兩側   ,,-1,0,8,0,0,0,0,0,,20元/時 ,22.991680，120.191994,,22.99168,120.191994
